APB_LLRR_29|SERVEI_29|NUM_ESCALA_23|FECHA_ENTRADA|FECHA_SALIDA|NOM_VAIXELL_23
325||28867|07/10/2021 19;00|07/10/2021 22;00|MARTIN I SOLER
7||27535|05/10/2021 14;00|06/10/2021 14;00|CSL MANHATTAN
5||28953|12/11/2021 06;00|12/11/2021 14;00|L'AUDACE
240||27029|05/10/2021 05;00|05/10/2021 14;00|APL TEMASEK
131||28780|10/10/2021 19;00|11/10/2021 03;00|GULBENIZ A
57||29122|04/10/2021 11;00|05/10/2021 06;00|MSC AZURIT F
21||29171|05/10/2021 07;00|05/10/2021 10;00|EXCELLENT
25||28166|08/10/2021 05;00|09/10/2021 20;00|CIRTA
213||28313|02/11/2021 15;00|03/11/2021 07;00|X-PRESS VESUVIO
233||28777|07/10/2021 14;00|08/10/2021 09;00|CINZIA A
48||27769|16/10/2021 05;00|16/10/2021 20;00|AKHISAR
323||29224|07/10/2021 19;00|07/10/2021 22;00|VOLCAN DEL TEIDE
329||29157|02/10/2021 18;00|03/10/2021 22;00|NAPOLES
238||29194|15/10/2021 06;00|15/10/2021 20;00|MSC ATHOS
318||29013|03/10/2021 20;30|04/10/2021 22;15|CRUISE ROMA
233||28818|02/10/2021 14;00|03/10/2021 18;00|NYSTED MAERSK
62||29236|07/10/2021 02;00|07/10/2021 05;00|ECO SAVONA
101||28786|31/10/2021 06;00|31/10/2021 14;00|YANTIAN EXPRESS
320||28856|02/10/2021 19;00|03/10/2021 22;45|VOLCAN DEL TEIDE
341||29141|04/10/2021 18;00|04/10/2021 23;00|GNV SEALAND
131||28741|17/10/2021 18;00|18/10/2021 20;00|SATIE
233||28755|01/10/2021 11;15|01/10/2021 23;30|NELE MAERSK
25||28701|07/10/2021 05;00|07/10/2021 20;00|TAMANRASSET
233||29209|14/10/2021 02;00|14/10/2021 20;00|NORA MAERSK
233||29120|09/10/2021 08;00|09/10/2021 20;00|MACAO
213||28353|26/10/2021 16;00|27/10/2021 08;00|X-PRESS MONTE CERVIN
217||28820|08/10/2021 19;00|09/10/2021 14;00|RHODOS
325||29072|02/10/2021 14;30|02/10/2021 16;30|CECILIA PAYNE
45||28964|29/10/2021 06;00|29/10/2021 14;00|RACHEL BORCHARD
240||28297|19/10/2021 06;00|20/10/2021 14;00|CMA CGM COLUMBA
18||28767|28/10/2021 05;00|30/10/2021 05;00|UNAYZAH
14||26879|18/10/2021 06;00|18/10/2021 20;00|ZIM YOKOHAMA
238||28766|20/10/2021 05;00|21/10/2021 14;00|LONG BEACH EXPRESS
5||28951|05/11/2021 06;00|05/11/2021 14;00|L'AUDACE
